Time,Temperature
2024-11-27 16:11:00,10.96 °C
2024-11-27 16:26:00,10.93 °C
2024-11-27 16:41:00,11.52 °C
2024-11-27 16:56:00,11.71 °C
2024-11-27 17:11:00,11.68 °C
2024-11-27 17:27:00,11.79 °C
2024-11-27 17:42:00,11.8 °C
2024-11-27 17:57:00,11.8 °C
2024-11-27 18:12:00,11.79 °C
2024-11-27 18:27:00,11.57 °C
2024-11-27 18:43:00,11.65 °C
2024-11-27 18:58:00,11.82 °C
2024-11-27 19:13:00,11.61 °C
2024-11-27 19:28:00,11.6 °C
2024-11-27 19:43:00,11.52 °C
2024-11-27 19:58:00,11.74 °C
2024-11-27 20:14:00,11.83 °C
2024-11-27 20:29:00,11.93 °C
2024-11-27 20:44:00,11.84 °C
2024-11-27 20:59:00,11.83 °C
2024-11-27 21:14:00,11.84 °C
2024-11-27 21:29:00,11.85 °C
2024-11-27 21:45:00,11.83 °C
2024-11-27 22:00:00,11.55 °C
2024-11-27 22:15:00,11.83 °C
2024-11-27 22:30:00,11.87 °C
2024-11-27 22:45:00,11.67 °C
2024-11-27 23:00:00,11.6 °C
2024-11-27 23:16:00,12 °C
2024-11-27 23:31:00,10.76 °C
2024-11-27 23:46:00,10.91 °C
2024-11-28 00:01:00,11.2 °C
2024-11-28 00:16:00,11.19 °C
2024-11-28 00:31:00,11.47 °C
2024-11-28 00:47:00,11.39 °C
2024-11-28 01:02:00,11.43 °C
2024-11-28 01:17:00,11.65 °C
2024-11-28 01:32:00,11.12 °C
2024-11-28 01:47:00,10.78 °C
2024-11-28 02:02:00,10.95 °C
2024-11-28 02:17:00,10.5 °C
2024-11-28 02:33:00,9.55 °C
2024-11-28 02:48:00,9.52 °C
2024-11-28 03:03:00,9.3 °C
2024-11-28 03:18:00,9.18 °C
2024-11-28 03:33:00,8.56 °C
2024-11-28 03:48:00,8.22 °C
2024-11-28 04:04:00,8.46 °C
2024-11-28 04:19:00,8.1 °C
2024-11-28 04:34:00,8.04 °C
2024-11-28 04:49:00,7.84 °C
2024-11-28 05:04:00,7.71 °C
2024-11-28 05:19:00,7.66 °C
2024-11-28 05:35:00,7.59 °C
2024-11-28 05:50:00,7.33 °C
2024-11-28 06:05:00,7.23 °C
2024-11-28 06:20:00,7.08 °C
2024-11-28 06:35:00,6.75 °C
2024-11-28 06:50:00,6.7 °C
2024-11-28 07:06:00,6.79 °C
2024-11-28 07:21:00,6.73 °C
2024-11-28 07:36:00,6.88 °C
2024-11-28 07:51:00,6.7 °C
2024-11-28 08:06:00,6.69 °C
2024-11-28 08:21:00,6.73 °C
2024-11-28 08:37:00,7.11 °C
2024-11-28 08:52:00,7.14 °C
2024-11-28 09:07:00,7.34 °C
2024-11-28 09:22:00,7.55 °C
2024-11-28 09:37:00,7.58 °C
2024-11-28 09:52:00,8.03 °C
2024-11-28 10:07:00,8.03 °C
2024-11-28 10:08:00,8.03 °C
2024-11-28 10:23:00,8.24 °C
2024-11-28 10:38:00,8.27 °C
2024-11-28 10:53:00,8.39 °C
2024-11-28 11:08:00,8.35 °C
2024-11-28 11:23:00,8.24 °C
2024-11-28 11:38:00,9.11 °C
2024-11-28 11:54:00,9.12 °C
2024-11-28 12:09:00,9.33 °C
2024-11-28 12:24:00,8.62 °C
2024-11-28 12:39:00,8.71 °C
2024-11-28 12:54:00,8.77 °C
2024-11-28 13:09:00,9.08 °C
2024-11-28 13:25:00,8.79 °C
2024-11-28 13:40:00,8.77 °C
2024-11-28 13:55:00,8.77 °C
2024-11-28 14:10:00,8.76 °C
2024-11-28 14:25:00,8.76 °C
2024-11-28 14:40:00,8.76 °C
2024-11-28 14:56:00,8.23 °C
2024-11-28 15:11:00,8.02 °C
2024-11-28 15:26:00,7.72 °C
2024-11-28 15:41:00,7.67 °C
2024-11-28 15:56:00,7.11 °C
2024-11-28 16:11:00,7.11 °C
2024-11-28 16:27:00,6.56 °C
2024-11-28 16:42:00,6.01 °C
2024-11-28 16:57:00,6.9 °C
2024-11-28 17:12:00,6 °C
2024-11-28 17:27:00,6.1 °C
2024-11-28 17:42:00,6.15 °C
2024-11-28 17:58:00,5.87 °C
2024-11-28 18:13:00,6.12 °C
2024-11-28 18:28:00,5.99 °C
2024-11-28 18:43:00,5.98 °C
2024-11-28 18:58:00,5.85 °C
2024-11-28 19:13:00,5.99 °C
2024-11-28 19:29:00,5.84 °C
2024-11-28 19:44:00,5.7 °C
2024-11-28 19:59:00,5.66 °C
2024-11-28 20:14:00,6.06 °C
2024-11-28 20:29:00,5.55 °C
2024-11-28 20:44:00,5.37 °C
2024-11-28 21:00:00,5.33 °C
2024-11-28 21:15:00,5.13 °C
2024-11-28 21:30:00,5.76 °C
2024-11-28 21:45:00,5.76 °C
2024-11-28 22:00:00,5.43 °C
2024-11-28 22:15:00,5.51 °C
2024-11-28 22:30:00,5.26 °C
2024-11-28 22:46:00,4.94 °C
2024-11-28 23:01:00,4.85 °C
2024-11-28 23:16:00,4.59 °C
2024-11-28 23:31:00,4.39 °C
2024-11-28 23:46:00,4.39 °C
2024-11-29 00:01:00,4.36 °C
2024-11-29 00:17:00,4.36 °C
2024-11-29 00:32:00,4.04 °C
2024-11-29 00:47:00,4.03 °C
2024-11-29 01:02:00,3.98 °C
2024-11-29 01:17:00,3.78 °C
2024-11-29 01:32:00,4.19 °C
2024-11-29 01:48:00,3.29 °C
2024-11-29 02:03:00,3.29 °C
2024-11-29 02:18:00,2.98 °C
2024-11-29 02:33:00,2.73 °C
2024-11-29 02:48:00,2.77 °C
2024-11-29 03:03:00,2.61 °C
2024-11-29 03:19:00,2.6 °C
2024-11-29 03:34:00,2.52 °C
2024-11-29 03:49:00,2.17 °C
2024-11-29 04:04:00,2.25 °C
2024-11-29 04:19:00,1.97 °C
2024-11-29 04:34:00,1.92 °C
2024-11-29 04:50:00,1.67 °C
2024-11-29 05:05:00,1.11 °C
2024-11-29 05:20:00,1.06 °C
2024-11-29 05:35:00,1.06 °C
2024-11-29 05:50:00,1.27 °C
2024-11-29 06:05:00,1.52 °C
2024-11-29 06:21:00,1.87 °C
2024-11-29 06:36:00,1.92 °C
2024-11-29 06:51:00,1.61 °C
2024-11-29 07:06:00,1.66 °C
2024-11-29 07:21:00,2.12 °C
2024-11-29 07:36:00,1.16 °C
2024-11-29 07:51:00,1.21 °C
2024-11-29 08:07:00,1.61 °C
2024-11-29 08:22:00,1.61 °C
2024-11-29 08:37:00,3.02 °C
2024-11-29 08:52:00,2.1 °C
2024-11-29 09:07:00,3.33 °C
2024-11-29 09:22:00,4.73 °C
2024-11-29 09:38:00,4.22 °C
2024-11-29 09:53:00,4.78 °C
2024-11-29 10:08:00,5.56 °C
2024-11-29 10:23:00,6.26 °C
2024-11-29 10:38:00,6.87 °C
2024-11-29 10:53:00,7.32 °C
2024-11-29 11:09:00,7.05 °C
2024-11-29 11:24:00,7.52 °C
2024-11-29 11:39:00,7.52 °C
2024-11-29 11:54:00,8.14 °C
2024-11-29 12:09:00,8.03 °C
2024-11-29 12:24:00,8.25 °C
2024-11-29 12:40:00,8.66 °C
2024-11-29 12:55:00,8.66 °C
2024-11-29 13:10:00,9.32 °C
2024-11-29 13:25:00,9 °C
2024-11-29 13:40:00,8.69 °C
2024-11-29 13:55:00,7.6 °C
2024-11-29 14:11:00,7.73 °C
2024-11-29 14:26:00,7.63 °C
2024-11-29 14:41:00,7.25 °C
2024-11-29 14:56:00,6.89 °C
2024-11-29 15:11:00,6.89 °C
2024-11-29 15:26:00,6.33 °C
2024-11-29 15:41:00,6 °C
