Time,Temperature_inside,Temperature_outside
2024-11-26 00:15:00,24.358367919921875,11.45
2024-11-26 00:16:00,24.341583251953125,11.443999999999999
2024-11-26 00:17:00,24.31640625,11.437999999999999
2024-11-26 00:18:00,24.3194580078125,11.431999999999999
2024-11-26 00:19:00,24.323081970214844,11.426
2024-11-26 00:20:00,24.259567260742188,11.42
2024-11-26 00:21:00,24.233436584472656,11.414
2024-11-26 00:22:00,24.23686981201172,11.408
2024-11-26 00:23:00,24.310874938964844,11.402
2024-11-26 00:24:00,24.315452575683597,11.395999999999999
2024-11-26 00:25:00,24.29523468017578,11.389999999999999
2024-11-26 00:26:00,24.34558868408203,11.383999999999999
2024-11-26 00:27:00,24.319076538085938,11.378
2024-11-26 00:28:00,24.303054809570312,11.372
2024-11-26 00:29:00,24.274826049804688,11.366
2024-11-26 00:30:00,24.27330017089844,11.36
2024-11-26 00:31:00,24.300193786621094,11.36
2024-11-26 00:32:00,24.341964721679688,11.36
2024-11-26 00:33:00,24.38392639160156,11.36
2024-11-26 00:34:00,24.38812255859375,11.36
2024-11-26 00:35:00,24.382591247558597,11.36
2024-11-26 00:36:00,24.409103393554688,11.36
2024-11-26 00:37:00,24.38297271728516,11.36
2024-11-26 00:38:00,24.362564086914062,11.36
2024-11-26 00:39:00,24.40948486328125,11.36
2024-11-26 00:40:00,24.39899444580078,11.36
2024-11-26 00:41:00,24.369430541992188,11.36
2024-11-26 00:42:00,24.312782287597656,11.36
2024-11-26 00:43:00,24.309539794921875,11.36
2024-11-26 00:44:00,24.356651306152344,11.36
2024-11-26 00:45:00,24.37114715576172,11.36
2024-11-26 00:46:00,24.349594116210938,11.3575
2024-11-26 00:47:00,24.3743896484375,11.355
2024-11-26 00:48:00,24.418258666992188,11.3525
2024-11-26 00:49:00,24.381637573242188,11.35
2024-11-26 00:50:00,24.36065673828125,11.3475
2024-11-26 00:51:00,24.355125427246094,11.344999999999999
2024-11-26 00:52:00,24.3438720703125,11.3425
2024-11-26 00:53:00,24.34978485107422,11.34
2024-11-26 00:54:00,24.38220977783203,11.3375
2024-11-26 00:55:00,24.339675903320312,11.335
2024-11-26 00:56:00,24.28169250488281,11.3325
2024-11-26 00:57:00,24.283409118652344,11.33
2024-11-26 00:58:00,24.283409118652344,11.3275
2024-11-26 00:59:00,24.248123168945312,11.325
2024-11-26 01:00:00,24.17469024658203,11.3225
2024-11-26 01:01:00,24.1424560546875,11.32
2024-11-26 01:02:00,24.21436309814453,11.313333333333334
2024-11-26 01:03:00,24.22447204589844,11.306666666666667
2024-11-26 01:04:00,24.22714233398437,11.3
2024-11-26 01:05:00,24.18689727783203,11.293333333333333
2024-11-26 01:06:00,24.08733367919922,11.286666666666667
2024-11-26 01:07:00,24.17316436767578,11.280000000000001
2024-11-26 01:08:00,24.15962219238281,11.273333333333333
2024-11-26 01:09:00,24.19376373291016,11.266666666666667
2024-11-26 01:10:00,24.113845825195312,11.26
2024-11-26 01:11:00,24.07798767089844,11.253333333333334
2024-11-26 01:12:00,24.098777770996094,11.246666666666668
2024-11-26 01:13:00,24.16400909423828,11.24
2024-11-26 01:14:00,24.167823791503903,11.233333333333334
2024-11-26 01:15:00,24.16095733642578,11.226666666666667
2024-11-26 01:16:00,24.1485595703125,11.22
2024-11-26 01:17:00,24.26280975341797,11.219333333333333
2024-11-26 01:18:00,24.266815185546875,11.218666666666667
2024-11-26 01:19:00,24.219512939453125,11.218
2024-11-26 01:20:00,24.198341369628903,11.217333333333334
2024-11-26 01:21:00,24.155807495117188,11.216666666666667
2024-11-26 01:22:00,24.118423461914062,11.216000000000001
2024-11-26 01:23:00,24.15618896484375,11.215333333333334
2024-11-26 01:24:00,24.15447235107422,11.214666666666668
2024-11-26 01:25:00,24.16324615478516,11.214
2024-11-26 01:26:00,24.146652221679688,11.213333333333335
2024-11-26 01:27:00,24.23725128173828,11.212666666666667
2024-11-26 01:28:00,24.23267364501953,11.212000000000002
2024-11-26 01:29:00,24.233627319335938,11.211333333333334
2024-11-26 01:30:00,24.27234649658203,11.210666666666668
2024-11-26 01:31:00,24.2523193359375,11.21
2024-11-26 01:32:00,24.280738830566406,11.212666666666667
2024-11-26 01:33:00,24.25365447998047,11.215333333333334
2024-11-26 01:34:00,24.326705932617188,11.218
2024-11-26 01:35:00,24.33509826660156,11.220666666666668
2024-11-26 01:36:00,24.36714172363281,11.223333333333334
2024-11-26 01:37:00,24.332237243652344,11.226
2024-11-26 01:38:00,24.341392517089844,11.228666666666667
2024-11-26 01:39:00,24.31621551513672,11.231333333333334
2024-11-26 01:40:00,24.31182861328125,11.234
2024-11-26 01:41:00,24.347877502441406,11.236666666666666
2024-11-26 01:42:00,24.30267333984375,11.239333333333333
2024-11-26 01:43:00,24.300193786621094,11.242
2024-11-26 01:44:00,24.28874969482422,11.244666666666667
2024-11-26 01:45:00,24.273681640625,11.247333333333334
2024-11-26 01:46:00,24.274253845214844,11.25
2024-11-26 01:47:00,24.326324462890625,11.246
2024-11-26 01:48:00,24.26929473876953,11.241999999999999
2024-11-26 01:49:00,24.18785095214844,11.238
2024-11-26 01:50:00,24.18975830078125,11.234
2024-11-26 01:51:00,24.29065704345703,11.23
2024-11-26 01:52:00,24.303054809570312,11.225999999999999
2024-11-26 01:53:00,24.34558868408203,11.222
2024-11-26 01:54:00,24.326705932617188,11.218
2024-11-26 01:55:00,24.32861328125,11.214
2024-11-26 01:56:00,24.381637573242188,11.209999999999999
2024-11-26 01:57:00,24.381256103515625,11.206
2024-11-26 01:58:00,24.34825897216797,11.202
